Variable,MIMIC-IV,eICU-CRD,SICdb
N,"48,207","131,061","21,091"
"Age, years",66.0 [54.0–78.0],65.0 [53.0–77.0],70.0 [55.0–75.0]
Female,21368 (44.3%),60360 (46.1%),8019 (38.0%)
"ICU LOS, hours",45.0 [26.2–84.3],41.4 [22.9–73.7],37.8 [19.6–77.4]
"Baseline creatinine, mg/dL",0.9 [0.7–1.1],0.9 [0.7–1.3],0.9 [0.7–1.1]
"Peak creatinine (30d), mg/dL",1.0 [0.8–1.5],1.0 [0.8–1.5],1.0 [0.8–1.3]
KDIGO AKI ≥ stage 1,11506 (23.9%),13347 (10.2%),2582 (12.2%)
MAKE30 (composite),7724 (16.0%),13703 (10.5%),2274 (10.8%)
  Death ≤ 30d,6265 (13.0%),11259 (8.6%),1677 (8.0%)
  New RRT ≤ 30d,1092 (2.3%),2239 (1.7%),742 (3.5%)
  Persistent renal dysfunction,2464 (5.1%),1880 (1.4%),345 (1.6%)
