Variable,Group,n,events,AUROC,Calib_slope,CITL
sex_grp,Female,22250,2649,0.798,1.097,-1.114
sex_grp,Male,37610,4331,0.792,1.034,-1.251
age_grp,<55,14853,1023,0.826,1.1,-1.44
age_grp,55-70,21494,2209,0.796,1.034,-1.282
age_grp,>70,23513,3748,0.751,1.012,-1.066
egfr_grp,eGFR<60,13017,3374,0.742,0.896,-0.772
egfr_grp,eGFR>=60,46843,3606,0.769,1.005,-1.447
landmark_h,6,20644,2072,0.786,1.024,-1.219
landmark_h,12,19727,1964,0.786,1.056,-1.317
landmark_h,24,12023,1629,0.794,1.035,-1.113
landmark_h,48,7466,1315,0.795,1.083,-1.066
