feature,mean_abs_shap
age,0.31368043357139996
egfr_current,0.14483573730477944
urine_rate__last,0.13490727435403213
resp_rate__mean,0.10762106433131224
heart_rate__max,0.09647240219060416
heart_rate__last,0.09608992244305968
spo2__std,0.08085925262174545
bicarbonate__slope,0.0808578160212393
bun__last,0.07878412855326498
spo2__last,0.0735966331994145
creat_ratio_last,0.0725315010834343
bun_creat_ratio,0.07002848758468459
baseline_scr,0.06932248032261841
spo2__mean,0.06287402180359475
spo2__max,0.06137471101607713
wbc__min,0.06063285277131036
sex_female,0.05996769138224819
weight,0.05425363454850114
glucose__min,0.053929528971525406
lactate__last,0.05343564344445207
